source_image,x,y,label,annotator,notes
D16_03_1_7_Bright Field_001_LHi (30).jpg,501,1070,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (48).jpg,64,999,sickle,UG,
H20_03_1_9_Bright Field_001.jpg,315,1262,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (20).jpg,271,1772,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (132).jpg,1459,450,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (134).jpg,1110,424,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,62,1193,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (114).jpg,739,989,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (43).jpg,626,1456,sickle,UG,multiple sickle
G21_03_1_10_Bright Field_002.jpg,567,1748,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (109).jpg,236,1059,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (140).jpg,1676,865,sickle,UG,
I20_03_1_3_Bright Field_002.jpg,1554,153,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,390,1758,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (59).jpg,1529,754,sickle,UG,multiple sickle
I20_03_1_4_Bright Field_001.jpg,1601,66,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1323,248,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,1778,1223,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (68).jpg,1033,1112,sickle,UG,
H20_03_1_16_Bright Field_002.jpg,1589,918,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (56).jpg,1311,949,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (62).jpg,674,519,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (153).jpg,812,870,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,282,207,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (91).jpg,426,1030,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (105).jpg,1299,1792,sickle,UG,
K20_03_1_11_Bright Field_002.jpg,106,948,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (18).jpg,1800,1757,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,826,473,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (7).jpg,597,1536,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (147).jpg,1710,858,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,890,1538,sickle,UG,
J20_03_1_11_Bright Field_001.jpg,1193,1374,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (15).jpg,529,1599,sickle,UG,
K20_03_1_10_Bright Field_002.jpg,1656,940,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (147).jpg,1311,1806,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,1605,1185,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (110).jpg,1764,1208,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,1040,499,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (48).jpg,360,1429,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,1086,873,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (139).jpg,1506,1919,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (95).jpg,231,421,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (81).jpg,773,1016,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,910,1322,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (79).jpg,1122,1553,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (113).jpg,959,1326,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (19).jpg,1207,1338,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,330,1536,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1430,1062,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,1866,1453,sickle,UG,
J20_03_1_10_Bright Field_002.jpg,1605,1324,sickle,UG,
K20_03_1_15_Bright Field_001.jpg,308,1821,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,1829,1072,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (86).jpg,1087,1601,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,980,1882,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (88).jpg,427,289,sickle,UG,
H20_03_1_11_Bright Field_002.jpg,1436,1854,sickle,UG,
J20_03_1_8_Bright Field_001.jpg,1427,1612,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (78).jpg,1895,1301,sickle,UG,
J20_03_1_11_Bright Field_002.jpg,1134,842,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (156).jpg,1332,1110,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (59).jpg,1559,871,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (6).jpg,1177,1130,sickle,UG,
J20_03_1_5_Bright Field_001.jpg,1216,474,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (46).jpg,826,842,sickle,UG,
K20_03_1_3_Bright Field_001.jpg,187,1879,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (146).jpg,1406,1243,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (94).jpg,366,1465,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1322,1369,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (34).jpg,889,1356,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (85).jpg,1414,1474,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (75).jpg,1810,637,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,1304,1114,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (62).jpg,448,135,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (82).jpg,428,1511,sickle,UG,
H20_03_1_11_Bright Field_002.jpg,1028,577,sickle,UG,
G21_03_1_15_Bright Field_002.jpg,1349,1944,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,1159,98,sickle,UG,
K20_03_1_16_Bright Field_001.jpg,602,1807,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (149).jpg,1581,799,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (44).jpg,1390,590,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (164).jpg,1304,963,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (112).jpg,352,784,sickle,UG,
K20_03_1_16_Bright Field_002.jpg,94,981,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (89).jpg,1255,143,sickle,UG,
I20_03_1_12_Bright Field_001.jpg,587,1728,sickle,UG,
I20_03_1_7_Bright Field_002.jpg,825,1233,sickle,UG,
K20_03_1_12_Bright Field_002.jpg,1159,373,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,1177,924,sickle,UG,
K20_03_1_15_Bright Field_002.jpg,551,1267,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (140).jpg,1379,1840,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,730,1748,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,746,206,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (164).jpg,1178,508,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (52).jpg,748,225,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,584,1882,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (52).jpg,1332,1918,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (54).jpg,918,929,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (124).jpg,317,451,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (130).jpg,416,1583,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (175).jpg,1664,962,sickle,UG,
G21_03_1_11_Bright Field_002.jpg,1244,1842,sickle,UG,
I20_03_1_14_Bright Field_001.jpg,1615,1594,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (111).jpg,137,535,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,976,250,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (158).jpg,1087,1020,sickle,UG,
I20_03_1_5_Bright Field_001.jpg,745,372,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,237,302,sickle,UG,
I20_03_1_8_Bright Field_001.jpg,1249,973,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,130,554,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (148).jpg,957,791,sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (94).jpg,775,628,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (42).jpg,103,1747,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (8).jpg,610,1513,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (102).jpg,315,626,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,557,729,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (172).jpg,475,1227,sickle,UG,
I20_03_1_4_Bright Field_002.jpg,1096,1666,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (49).jpg,512,1314,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (88).jpg,1272,423,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,988,1363,sickle,UG,
K20_03_1_12_Bright Field_002.jpg,152,1107,sickle,UG,
G21_03_1_11_Bright Field_002.jpg,170,1640,sickle,UG,
K20_03_1_14_Bright Field_001.jpg,1336,1392,sickle,UG,
G21_03_1_6_Bright Field_001.jpg,616,1625,sickle,UG,
H20_03_1_11_Bright Field_002.jpg,549,1749,sickle,UG,
I20_03_1_4_Bright Field_002.jpg,1362,1392,sickle,UG,
H20_03_1_8_Bright Field_002.jpg,1560,368,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (83).jpg,1297,1604,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (138).jpg,137,1276,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,580,580,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (58).jpg,456,607,sickle,UG,
K20_03_1_11_Bright Field_002.jpg,1714,1092,sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (128).jpg,443,628,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,305,1749,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (66).jpg,1609,1297,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (105).jpg,1203,1876,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,290,636,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (164).jpg,977,1526,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (95).jpg,1467,1061,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (20).jpg,1016,1199,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,426,1559,non_sickle,UG,exogenous polymer
J20_03_1_7_Bright Field_002.jpg,206,75,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (89).jpg,680,580,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (5).jpg,84,1376,sickle,UG,
H20_03_1_16_Bright Field_002.jpg,1524,1679,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1813,1416,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (125).jpg,84,569,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (42).jpg,1816,401,sickle,UG,
H20_03_1_15_Bright Field_002.jpg,115,930,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (169).jpg,1503,903,sickle,UG,
K20_03_1_11_Bright Field_002.jpg,535,712,sickle,UG,
H20_03_1_15_Bright Field_002.jpg,1213,1675,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (6).jpg,317,1284,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,461,1910,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (6).jpg,648,98,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (14).jpg,1569,1892,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1486,420,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,1353,1517,sickle,UG,
J20_03_1_6_Bright Field_002.jpg,1752,54,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,1214,492,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (162).jpg,1765,1198,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (86).jpg,336,853,sickle,UG,
G21_03_1_15_Bright Field_002.jpg,478,1795,non_sickle,UG,"nearby debris with 
exogenous polymer"
K20_03_1_2_Bright Field_002.jpg,347,1119,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (142).jpg,1537,1567,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (4).jpg,1803,610,sickle,UG,
H20_03_1_16_Bright Field_001.jpg,1791,534,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (125).jpg,796,1615,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,1112,1358,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,43,587,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (83).jpg,473,1584,sickle,UG,
G21_03_1_2_Bright Field_002.jpg,958,1401,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (161).jpg,1306,246,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,1845,1260,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (119).jpg,460,497,sickle,UG,
K20_03_1_1_Bright Field_001.jpg,807,431,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1181,1234,sickle,UG,
G21_03_1_7_Bright Field_001.jpg,1730,1836,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (7).jpg,426,1010,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (103).jpg,614,1324,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (69).jpg,189,1051,sickle,UG,
G21_03_1_16_Bright Field_002.jpg,1522,1544,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,1582,1771,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (1).jpg,444,423,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (170).jpg,1845,1296,sickle,UG,
K20_03_1_7_Bright Field_002.jpg,467,1752,sickle,UG,multiple sickle
G21_03_1_14_Bright Field_001.jpg,586,885,sickle,UG,
J20_03_1_11_Bright Field_002.jpg,779,285,sickle,UG,
K20_03_1_15_Bright Field_001.jpg,780,1520,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,1656,796,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,756,1751,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (164).jpg,850,1703,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (134).jpg,727,137,sickle,UG,
H20_03_1_13_Bright Field_001.jpg,176,1293,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (18).jpg,931,1074,sickle,UG,
H20_03_1_16_Bright Field_001.jpg,732,1733,sickle,UG,
I20_03_1_2_Bright Field_002.jpg,630,176,sickle,UG,multiple sickle
K20_03_1_14_Bright Field_002.jpg,1236,1379,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (66).jpg,137,971,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (93).jpg,1666,1914,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (115).jpg,448,1749,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (169).jpg,119,1855,sickle,UG,
I20_03_1_10_Bright Field_001.jpg,1749,1911,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (30).jpg,1059,1279,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (52).jpg,558,1362,sickle,UG,
I20_03_1_10_Bright Field_002.jpg,167,1442,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (173).jpg,173,296,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,1058,752,sickle,UG,multiple sickle
K20_03_1_3_Bright Field_002.jpg,121,1207,sickle,UG,nearby debris
D16_03_1_7_Bright Field_001_LHi (103).jpg,113,376,sickle,UG,
K20_03_1_11_Bright Field_001.jpg,139,866,sickle,UG,
J20_03_1_4_Bright Field_002.jpg,176,705,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (54).jpg,914,341,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (66).jpg,941,473,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,529,1082,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (141).jpg,986,1469,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,1089,63,sickle,UG,multiple sickle
J20_03_1_15_Bright Field_002.jpg,1709,794,sickle,UG,
J20_03_1_4_Bright Field_001.jpg,1006,723,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,396,1778,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (160).jpg,553,846,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (3).jpg,1583,383,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (44).jpg,308,1731,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (76).jpg,1856,1441,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (119).jpg,933,530,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (124).jpg,508,1279,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (135).jpg,1466,1614,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (26).jpg,1483,709,sickle,UG,"multiple sickle
"
D16_03_1_7_Bright Field_001_LHi (93).jpg,989,713,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (53).jpg,1652,778,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (68).jpg,1627,1114,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (167).jpg,271,131,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (147).jpg,1595,1128,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,193,374,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (49).jpg,1026,950,sickle,UG,
I20_03_1_16_Bright Field_001.jpg,814,938,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (17).jpg,767,993,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (45).jpg,871,1410,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (91).jpg,510,220,sickle,UG,
K20_03_1_5_Bright Field_001.jpg,758,854,sickle,UG,
K20_03_1_4_Bright Field_002.jpg,1603,955,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,741,1693,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (84).jpg,1854,974,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (146).jpg,239,737,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,1349,1276,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,405,451,sickle,UG,
K20_03_1_5_Bright Field_002.jpg,755,980,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,1498,844,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (167).jpg,408,1899,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (14).jpg,1075,1410,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (119).jpg,626,513,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,488,464,sickle,UG,
H20_03_1_3_Bright Field_002.jpg,172,835,sickle,UG,
K20_03_1_8_Bright Field_001.jpg,1419,910,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (23).jpg,271,132,sickle,UG,
I20_03_1_8_Bright Field_001.jpg,1001,1689,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (109).jpg,714,270,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (70).jpg,1149,1121,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,326,37,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,355,882,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,1395,862,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (155).jpg,491,44,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (19).jpg,277,1787,sickle,UG,
K20_03_1_10_Bright Field_002.jpg,793,1659,sickle,UG,
K20_03_1_9_Bright Field_002.jpg,1078,1056,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (116).jpg,804,1870,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (87).jpg,1264,413,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (95).jpg,1709,952,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (110).jpg,159,1006,non_sickle,UG,exogenous polymer
H20_03_1_11_Bright Field_001.jpg,514,787,sickle,UG,multiple sickle
H20_03_1_4_Bright Field_001.jpg,1594,1428,sickle,UG,multiple sickle
K20_03_1_7_Bright Field_002.jpg,671,1401,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1886,1549,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,1113,1606,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (32).jpg,223,199,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (62).jpg,603,191,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (92).jpg,239,1636,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (130).jpg,815,441,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (38).jpg,1651,1296,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (165).jpg,1819,1269,sickle,UG,
K20_03_1_14_Bright Field_002.jpg,1347,1400,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (130).jpg,1425,1429,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,396,1320,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (93).jpg,608,477,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (149).jpg,331,1199,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (165).jpg,1211,1408,sickle,UG,
H20_03_1_5_Bright Field_002.jpg,394,359,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,447,1737,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,1025,263,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,474,1079,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (165).jpg,1289,1150,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (43).jpg,706,1576,sickle,UG,
J20_03_1_5_Bright Field_001.jpg,215,1504,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (151).jpg,582,796,ambiguous,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (41).jpg,1537,1865,sickle,UG,
G21_03_1_5_Bright Field_002.jpg,166,1428,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (115).jpg,942,427,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (136).jpg,283,593,sickle,UG,
K20_03_1_4_Bright Field_001.jpg,1677,960,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,912,463,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,672,544,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (117).jpg,793,826,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (103).jpg,957,723,sickle,UG,
H20_03_1_3_Bright Field_002.jpg,276,1229,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (167).jpg,298,1659,sickle,UG,
I20_03_1_1_Bright Field_001.jpg,754,1920,sickle,UG,
K20_03_1_16_Bright Field_002.jpg,1175,1228,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,1851,1735,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,1190,658,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (137).jpg,569,1583,sickle,UG,
I20_03_1_2_Bright Field_001.jpg,406,783,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (12).jpg,512,1235,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (10).jpg,404,640,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1811,375,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1865,899,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (76).jpg,1164,1265,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (72).jpg,625,1041,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (139).jpg,1281,944,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,923,1392,sickle,UG,multiple sickle
H20_03_1_3_Bright Field_001.jpg,1277,1704,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (100).jpg,1744,356,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,1346,1205,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (171).jpg,1549,1108,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,787,1315,sickle,UG,
J20_03_1_15_Bright Field_001.jpg,417,1699,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (39).jpg,345,1230,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (28).jpg,1552,302,sickle,UG,
H20_03_1_5_Bright Field_001.jpg,114,1118,sickle,UG,
H20_03_1_7_Bright Field_002.jpg,1414,1424,sickle,UG,
J20_03_1_3_Bright Field_002.jpg,285,782,sickle,UG,
J20_03_1_7_Bright Field_001.jpg,234,1246,sickle,UG,
K20_03_1_1_Bright Field_002.jpg,937,670,sickle,UG,
G21_03_1_10_Bright Field_001.jpg,608,1751,sickle,UG,multiple sickle
G21_03_1_11_Bright Field_002.jpg,1151,1116,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (114).jpg,485,1405,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,356,412,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,200,110,sickle,UG,
H20_03_1_4_Bright Field_002.jpg,927,486,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (114).jpg,1174,1492,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (116).jpg,1694,1206,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (150).jpg,1190,1781,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (34).jpg,1835,1933,sickle,UG,
J20_03_1_14_Bright Field_002.jpg,1255,1302,sickle,UG,
J20_03_1_15_Bright Field_002.jpg,473,1725,sickle,UG,
K20_03_1_1_Bright Field_001.jpg,990,908,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,188,1517,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (122).jpg,910,650,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,457,620,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (86).jpg,450,1394,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,478,1717,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (109).jpg,510,1364,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (133).jpg,675,946,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (148).jpg,1790,949,ambiguous,UG,
